;Вопрос;Тип обращения;Обращение;Ответ
original;Надо подключить несколько симкарт в один пакет;Мобильная связь;"You need to connect several SIM cards in one package
";None
from_ang;Вам необходимо подключить несколько SIM-карт в одной упаковке;Мобильная связь;"You need to connect several SIM cards in one package
";None
from_arab;Вам необходимо подключить несколько SIM-карт в одной упаковке;Мобильная связь;"You need to connect several SIM cards in one package
";None
original;Как следить за расходами минут и интернет.;Мобильная связь;"How to keep track of spending minutes and internet.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Как отслеживать потраченные минуты и Интернет.;Мобильная связь;"How to keep track of spending minutes and internet.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Как отслеживать потраченные минуты и Интернет.;Мобильная связь;"How to keep track of spending minutes and internet.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Доброй ночи, а карту можно курьером получить;Мобильная связь;"Good night, and the card can be received by courier
";None
from_ang;Спокойной ночи, можете забрать карту по почте;Мобильная связь;"Good night, and the card can be received by courier
";None
from_arab;Спокойной ночи, можно забрать карту по почте;Мобильная связь;"Good night, and the card can be received by courier
";None
original;Где посмотреть расход трафика?;Мобильная связь;"Where can I see the traffic consumption?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Где посмотреть расход трафика?;Мобильная связь;"Where can I see the traffic consumption?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Где посмотреть расход трафика?;Мобильная связь;"Where can I see the traffic consumption?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Доброго дня. Не могу понять как в приложении увидеть остатки минут, интернета... И если не хватает интернета доплатить за трафик.;Мобильная связь;"Good day. I can't understand how to see the remaining minutes, Internet in the application ... And if there is not enough Internet, pay extra for traffic.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Добрый день. Не могу понять, как посмотреть оставшиеся минуты, интернет в приложении ... а если интернета не хватит, плати больше за трафик.;Мобильная связь;"Good day. I can't understand how to see the remaining minutes, Internet in the application ... And if there is not enough Internet, pay extra for traffic.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Добрый день. Я не могу понять, как посмотреть оставшиеся минуты, интернет в приложении ... а если интернета недостаточно, платить больше за трафик.;Мобильная связь;"Good day. I can't understand how to see the remaining minutes, Internet in the application ... And if there is not enough Internet, pay extra for traffic.
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Добрый вечер, как получить распечатку оказанных услуг?;Мобильная связь;"Good evening, how can I get a printout of the services provided?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Добрый вечер, как мне получить распечатанную копию предоставленных услуг?;Мобильная связь;"Good evening, how can I get a printout of the services provided?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Добрый вечер, как получить распечатанную копию предоставленных услуг?;Мобильная связь;"Good evening, how can I get a printout of the services provided?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Добрый день, я потеряла сим карту;Мобильная связь;"Good afternoon, I lost my sim card
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
from_ang;Добрый вечер я потерял сим карту;Мобильная связь;"Good afternoon, I lost my sim card
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
from_arab;Добрый вечер я потерял сим карту;Мобильная связь;"Good afternoon, I lost my sim card
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
original;Добрый вечер! Набором каких цифр подключить дополнительные 3Гб мобильного интернета за 200 рублей?;Мобильная связь;"Good evening! By dialing what numbers to connect additional 3GB of mobile Internet for 200 rubles?
";https://spb.rt.ru/support/mobile/payment/form-of-payment
from_ang;Добрый вечер! На вопрос, какие номера можно использовать для подключения дополнительных 3 ГБ мобильного интернета за 200 рублей?;Мобильная связь;"Good evening! By dialing what numbers to connect additional 3GB of mobile Internet for 200 rubles?
";https://spb.rt.ru/support/mobile/payment/form-of-payment
from_arab;Добрый вечер! На вопрос, по каким номерам можно подключить дополнительные 3 ГБ мобильного интернета за 200 рублей?;Мобильная связь;"Good evening! By dialing what numbers to connect additional 3GB of mobile Internet for 200 rubles?
";https://spb.rt.ru/support/mobile/payment/form-of-payment
original;Подскажите пожалуйста, на каком тарифе обмениваются минуты\смс на интернет трафик?;Мобильная связь;"Please tell me at what rate are minutes / sms exchanged for Internet traffic?
";None
from_ang;Подскажите пожалуйста какой курс обмена минут / смс в интернете?;Мобильная связь;"Please tell me at what rate are minutes / sms exchanged for Internet traffic?
";None
from_arab;Подскажите пожалуйста, какова скорость обмена минут / SMS в Интернете?;Мобильная связь;"Please tell me at what rate are minutes / sms exchanged for Internet traffic?
";None
original;Как подключить новую сим- карту?;Мобильная связь;"How to connect a new SIM card?
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
from_ang;Как подключить новую симку?;Мобильная связь;"How to connect a new SIM card?
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
from_arab;Как подключить новую симку?;Мобильная связь;"How to connect a new SIM card?
";https://spb.rt.ru/support/mobile/control/sim-card-and-phone-number
original;Здравствуйте я хотел бы перейти на другой тариф;Мобильная связь;"Hello, I would like to switch to a different tariff
";https://spb.rt.ru/mobile/mobile_tariff
from_ang;Привет, я хочу перейти на другой тариф;Мобильная связь;"Hello, I would like to switch to a different tariff
";https://spb.rt.ru/mobile/mobile_tariff
from_arab;Эй, я бы хотел перейти на другой тариф;Мобильная связь;"Hello, I would like to switch to a different tariff
";https://spb.rt.ru/mobile/mobile_tariff
original;Можно ли удалённо перенести номер другого оператора в Ростелеком?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Можно ли удаленно передать Ростелекому номер другого оператора?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Можно ли удаленно передать Ростелекому номер другого оператора?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Хотел бы перевести мобильный номер супруги с МТС на Ростелеком.;Мобильная связь;"I would like to transfer my wife's mobile number from MTS to Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Хочу перенести номер мобильного телефона жены с МТС на Ростелеком.;Мобильная связь;"I would like to transfer my wife's mobile number from MTS to Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Я хочу перенести номер мобильного телефона жены с МТС на Ростелеком.;Мобильная связь;"I would like to transfer my wife's mobile number from MTS to Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Добрый день! Подскажите как можно заказать детализацию;Мобильная связь;"Good afternoon! Tell me how you can order detailing
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Добрый вечер! Подскажите, как можно узнать подробности;Мобильная связь;"Good afternoon! Tell me how you can order detailing
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Добрый вечер! Скажите, как можно узнать подробности;Мобильная связь;"Good afternoon! Tell me how you can order detailing
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Когда произойдёт объединение тарифов?;Мобильная связь;"When will the tariff consolidation take place?
";None
from_ang;Когда будет стандартизирован тариф?;Мобильная связь;"When will the tariff consolidation take place?
";None
from_arab;Когда будет стандартизирован тариф?;Мобильная связь;"When will the tariff consolidation take place?
";None
original;Как узнать остаток трафика;Мобильная связь;"How to find out the remaining traffic
";https://spb.rt.ru/support/mobile/payment/form-of-payment
from_ang;Как узнать оставшийся трафик;Мобильная связь;"How to find out the remaining traffic
";https://spb.rt.ru/support/mobile/payment/form-of-payment
from_arab;Как узнать оставшийся трафик;Мобильная связь;"How to find out the remaining traffic
";https://spb.rt.ru/support/mobile/payment/form-of-payment
original;А оставшийся пакет минут с прошлого месяца более не переноситься ?;Мобильная связь;"And the remaining package of minutes from the last month can no longer be carried over?
";None
from_ang;А то, что осталось из пакета минут с прошлого месяца, больше нельзя перенести?;Мобильная связь;"And the remaining package of minutes from the last month can no longer be carried over?
";None
from_arab;И то, что осталось от пакета минут с прошлого месяца, больше не может быть перенесено?;Мобильная связь;"And the remaining package of minutes from the last month can no longer be carried over?
";None
original;Какой объем трафика входит в тариф;Мобильная связь;"How much traffic is included in the tariff
";https://spb.rt.ru/mobile/mobile_tariff
from_ang;Сколько трафика входит в тариф;Мобильная связь;"How much traffic is included in the tariff
";https://spb.rt.ru/mobile/mobile_tariff
from_arab;Сколько трафика входит в тариф;Мобильная связь;"How much traffic is included in the tariff
";https://spb.rt.ru/mobile/mobile_tariff
original;Добрый день как я могу подключить мобильную связь и инет от Ростелеком.;Мобильная связь;"Good afternoon, how can I connect mobile communication and Internet from Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Добрый вечер, Как подключить мобильную и интернет-связь от Ростелекома.;Мобильная связь;"Good afternoon, how can I connect mobile communication and Internet from Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Добрый вечер, Как подключить мобильную и интернет-связь от Ростелекома.;Мобильная связь;"Good afternoon, how can I connect mobile communication and Internet from Rostelecom.
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Здравствуйте, как я могу настроить переадресацию входящих вызовов?;Мобильная связь;"Hello, how can I set up incoming call forwarding?
";None
from_ang;Привет, как я могу настроить переадресацию входящих звонков?;Мобильная связь;"Hello, how can I set up incoming call forwarding?
";None
from_arab;Привет, а как мне настроить переадресацию входящих вызовов?;Мобильная связь;"Hello, how can I set up incoming call forwarding?
";None
original;Добрый день. Скажите как можно перейти со своим номером на мобильную связь ростелеком;Мобильная связь;"Good afternoon. Tell me how you can switch to Rostelecom with your number
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Добрый вечер. Подскажите, как можно перейти на Ростелеком со своим номером;Мобильная связь;"Good afternoon. Tell me how you can switch to Rostelecom with your number
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Добрый вечер. Подскажите, как можно перейти на Ростелеком со своим номером;Мобильная связь;"Good afternoon. Tell me how you can switch to Rostelecom with your number
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Здравствуйте можно узнать сколько у меня сейчас на балансе счета;Мобильная связь;"Hello, you can find out how much I have on my account now
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Эй, теперь ты видишь сумму в моем аккаунте;Мобильная связь;"Hello, you can find out how much I have on my account now
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Эй, теперь ты можешь увидеть сумму в моем аккаунте;Мобильная связь;"Hello, you can find out how much I have on my account now
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Здравствуйте, как мне проверить баланс моего лицегого счета??;Мобильная связь;"Hello, how can I check the balance of my bogus account ??
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Здравствуйте, как я могу проверить баланс своего фиктивного счета ??;Мобильная связь;"Hello, how can I check the balance of my bogus account ??
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Здравствуйте, как я могу проверить баланс своего фиктивного счета ??;Мобильная связь;"Hello, how can I check the balance of my bogus account ??
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Добрый вечер подскажите как узнать остаток минут и интернета по тарифу на сим карте?;Мобильная связь;"Good evening, tell me how to find out the remaining minutes and the Internet at the rate on the SIM card?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Добрый вечер, подскажите, как узнать оставшиеся минуты и интернет по цене симки?;Мобильная связь;"Good evening, tell me how to find out the remaining minutes and the Internet at the rate on the SIM card?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Добрый вечер, подскажите как узнать оставшиеся минуты и интернет с ценой на симку?;Мобильная связь;"Good evening, tell me how to find out the remaining minutes and the Internet at the rate on the SIM card?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Есть ли тариф, который включает мобильную связь и интернет?;Мобильная связь;"Is there a tariff that includes mobile communications and the Internet?
";https://spb.rt.ru/mobile/mobile_tariff
from_ang;Есть ли тариф, включающий мобильную связь и интернет?;Мобильная связь;"Is there a tariff that includes mobile communications and the Internet?
";https://spb.rt.ru/mobile/mobile_tariff
from_arab;Есть ли тариф, включающий мобильную связь и интернет?;Мобильная связь;"Is there a tariff that includes mobile communications and the Internet?
";https://spb.rt.ru/mobile/mobile_tariff
original;Добрый вечер! Если отключим домашний телефон, подключение к интернету сохранится?;Домашний телефон;"Good evening! If we disconnect the home phone, will the Internet connection remain?
";None
from_ang;Добрый вечер! Если мы отключим домашний телефон, останется ли подключение к Интернету?;Домашний телефон;"Good evening! If we disconnect the home phone, will the Internet connection remain?
";None
from_arab;Добрый вечер! Если мы отключим домашний телефон, останется ли интернет-соединение?;Домашний телефон;"Good evening! If we disconnect the home phone, will the Internet connection remain?
";None
original;Добрый день. Я хочу получить детализацию вызовов для домашнего телефона. Но в приложении у меня это не получается. Пожалуйста, помогите.;Домашний телефон;"Good afternoon. I want to get call details for my home phone. But in the application I can't do it. Please, help.
";None
from_ang;Добрый день. Я хочу получить информацию о звонках на домашний телефон. Но в приложении этого сделать не могу. Пожалуйста помоги.;Домашний телефон;"Good afternoon. I want to get call details for my home phone. But in the application I can't do it. Please, help.
";None
from_arab;Добрый вечер. Мне нужны данные о моем домашнем телефоне. Но в приложении я не могу этого сделать. пожалуйста помоги.;Домашний телефон;"Good afternoon. I want to get call details for my home phone. But in the application I can't do it. Please, help.
";None
original;Проблема, я не могу совершать исходящие звонки. Как это исправить?;Домашний телефон;"The problem is, I can't make outgoing calls. How to fix it?
";None
from_ang;Проблема в том, что я не могу совершать исходящие звонки. Как это исправить?;Домашний телефон;"The problem is, I can't make outgoing calls. How to fix it?
";None
from_arab;Проблема в том, что я не могу совершать исходящие звонки. Как это исправить?;Домашний телефон;"The problem is, I can't make outgoing calls. How to fix it?
";None
original;прошу сделать переадресацию телефонов;Домашний телефон;"please make phone forwarding
";https://spb.rt.ru/support/phone/control/relocation
from_ang;пожалуйста, сделайте переадресацию телефона;Домашний телефон;"please make phone forwarding
";https://spb.rt.ru/support/phone/control/relocation
from_arab;Пожалуйста, перешлите телефон;Домашний телефон;"please make phone forwarding
";https://spb.rt.ru/support/phone/control/relocation
original;Здравствуйте! Как получить детализацию звонков домашнего телефона?;Домашний телефон;"Hello! How do I get call detail on my home phone?
";None
from_ang;Здравствуйте! Как получить подробную информацию о звонках на домашний телефон?;Домашний телефон;"Hello! How do I get call detail on my home phone?
";None
from_arab;Здравствуйте! Как получить информацию о звонках на домашний телефон?;Домашний телефон;"Hello! How do I get call detail on my home phone?
";None
original;Добрый день! Как можно посмотреть детализацию звонков?;Домашний телефон;"Good afternoon! How can I see the details of calls?
";None
from_ang;Добрый день! Как я могу увидеть подробную информацию о звонках?;Домашний телефон;"Good afternoon! How can I see the details of calls?
";None
from_arab;Добрый вечер! Как я могу увидеть подробную информацию о звонках?;Домашний телефон;"Good afternoon! How can I see the details of calls?
";None
original;мне нужна детализация входящих звонков;Домашний телефон;"I need detailing of incoming calls
";None
from_ang;Мне нужна детализация входящих звонков;Домашний телефон;"I need detailing of incoming calls
";None
from_arab;Мне нужны данные о входящих звонках;Домашний телефон;"I need detailing of incoming calls
";None
original;Как установить музыку вместо гудков?;Домашний телефон;"How do I set music instead of beeps?
";None
from_ang;Как поставить музыку вместо гудков?;Домашний телефон;"How do I set music instead of beeps?
";None
from_arab;Как мне поставить музыку вместо гудков?;Домашний телефон;"How do I set music instead of beeps?
";None
original;Можно ли взять распечатку звонков моего домашнего телефона;Домашний телефон;"Can I take a printout of my home phone calls
";None
from_ang;Могу я сделать распечатку звонков на домашний телефон?;Домашний телефон;"Can I take a printout of my home phone calls
";None
from_arab;Могу ли я взять распечатку домашних телефонных звонков?;Домашний телефон;"Can I take a printout of my home phone calls
";None
original;Необходима переадресация входящих;Домашний телефон;"Call forwarding required
";None
from_ang;Требуется переадресация звонка;Домашний телефон;"Call forwarding required
";None
from_arab;Требуется переадресация звонка;Домашний телефон;"Call forwarding required
";None
original;Здравствуйте, как можно получить детализацию звонков с домашнего телефона?;Домашний телефон;"Hello, how can I get call details from my home phone?
";None
from_ang;Здравствуйте, как я могу получить информацию о звонках с домашнего телефона?;Домашний телефон;"Hello, how can I get call details from my home phone?
";None
from_arab;Эй, как я могу получить информацию о звонках с домашнего телефона?;Домашний телефон;"Hello, how can I get call details from my home phone?
";None
original;Скажите, есть ли у вас функция история звонков?;Домашний телефон;"Tell me if you have a call history function?
";None
from_ang;Подскажите, есть ли у вас функция истории звонков?;Домашний телефон;"Tell me if you have a call history function?
";None
from_arab;Подскажите, есть ли у вас функция журнала вызовов?;Домашний телефон;"Tell me if you have a call history function?
";None
original;Не работает домашний телефон.;Домашний телефон;"Home phone does not work.
";None
from_ang;Домашний телефон не работает.;Домашний телефон;"Home phone does not work.
";None
from_arab;Домашний телефон не работает.;Домашний телефон;"Home phone does not work.
";None
original;Можно создать заявку на ремонт?;Домашний телефон;"Can I create a repair request?
";None
from_ang;Могу ли я создать заявку на ремонт?;Домашний телефон;"Can I create a repair request?
";None
from_arab;Могу ли я создать заявку на ремонт?;Домашний телефон;"Can I create a repair request?
";None
original;Гудки идут, звонка не поступает, берёшь трубу, гудков нет, прошу проверить, что с телефоном;Домашний телефон;"There are beeps, no call, you pick up the pipe, there are no beeps, please check what's wrong with the phone
";None
from_ang;Есть гудки, звонка нет, трубку снимаешь, гудков нет, проверьте, что не так с телефоном;Домашний телефон;"There are beeps, no call, you pick up the pipe, there are no beeps, please check what's wrong with the phone
";None
from_arab;Есть гудки, нет звонка, поднимите трубку, нет гудков, проверьте, что не так с телефоном;Домашний телефон;"There are beeps, no call, you pick up the pipe, there are no beeps, please check what's wrong with the phone
";None
original;Давно не пользуюсь домашним телефоном, как отключить?;Домашний телефон;"I have not used my home phone for a long time, how can I turn it off?
";https://spb.rt.ru/support/phone/control/disable-service
from_ang;Я давно не пользуюсь домашним телефоном, как его выключить?;Домашний телефон;"I have not used my home phone for a long time, how can I turn it off?
";https://spb.rt.ru/support/phone/control/disable-service
from_arab;Я давно не пользуюсь домашним телефоном, как его выключить?;Домашний телефон;"I have not used my home phone for a long time, how can I turn it off?
";https://spb.rt.ru/support/phone/control/disable-service
original;Куда обратиться чтобы мне сделали перерасчет и отключили телефон домашний;Домашний телефон;"Where to go so that they can recalculate me and disconnect my home phone
";https://spb.rt.ru/support/phone/control/disable-service
from_ang;Куда пойти, чтобы меня пересчитали и отключили домашний телефон;Домашний телефон;"Where to go so that they can recalculate me and disconnect my home phone
";https://spb.rt.ru/support/phone/control/disable-service
from_arab;Куда мне пойти, чтобы сбросить настройки и отключить домашний телефон;Домашний телефон;"Where to go so that they can recalculate me and disconnect my home phone
";https://spb.rt.ru/support/phone/control/disable-service
original;Добрый день. После замены роутера на zxhn h298a не могу зарегистрировать домашний телефон.;Домашний телефон;"Good afternoon. After replacing the router with zxhn h298a, I cannot register my home phone.
";https://spb.rt.ru/support/phone/connect/connect-phone-to-house-apartment
from_ang;Добрый день. После замены роутера на zxhn h298a не могу зарегистрировать домашний телефон.;Домашний телефон;"Good afternoon. After replacing the router with zxhn h298a, I cannot register my home phone.
";https://spb.rt.ru/support/phone/connect/connect-phone-to-house-apartment
from_arab;Добрый вечер. После замены роутера на zxhn h298a не могу зарегистрировать домашний телефон.;Домашний телефон;"Good afternoon. After replacing the router with zxhn h298a, I cannot register my home phone.
";https://spb.rt.ru/support/phone/connect/connect-phone-to-house-apartment
original;Здравствуйте примите заявку Не работает домашний телефон;Домашний телефон;"Hello, accept the request Home phone does not work
";None
from_ang;Здравствуйте, принимаем заявку Домашний телефон не работает;Домашний телефон;"Hello, accept the request Home phone does not work
";None
from_arab;Привет, прими запрос Домашний телефон не работает;Домашний телефон;"Hello, accept the request Home phone does not work
";None
original;Здравствуйте. У меня услуга домашний телефон заблокирована;Домашний телефон;"Hello. My home phone service is blocked
";None
from_ang;Здравствуйте. Мой домашний телефон заблокирован;Домашний телефон;"Hello. My home phone service is blocked
";None
from_arab;Здравствуй. Мой домашний телефон запрещен;Домашний телефон;"Hello. My home phone service is blocked
";None
original;Не работает услуга телефонии. Прошу проверить;Домашний телефон;"The telephony service does not work. Please check
";None
from_ang;Услуга телефонии не работает. пожалуйста, проверьте;Домашний телефон;"The telephony service does not work. Please check
";None
from_arab;Телефонная служба не работает. пожалуйста, проверьте;Домашний телефон;"The telephony service does not work. Please check
";None
original;Нет сигнала на домашнем телефоне;Домашний телефон;"No signal on home phone
";None
from_ang;Нет сигнала на домашнем телефоне;Домашний телефон;"No signal on home phone
";None
from_arab;Нет сигнала на домашнем телефоне;Домашний телефон;"No signal on home phone
";None
original;Я перечислила еще 600 руб, а телефон все отключен. Гудка нет.;Домашний телефон;"I transferred another 600 rubles, and the phone was turned off. There is no dial tone.
";https://spb.rt.ru/support/phone/payment/payment-received-but-no-service
from_ang;Я перевел еще 600 рублей, и телефон выключили. Нет гудка.;Домашний телефон;"I transferred another 600 rubles, and the phone was turned off. There is no dial tone.
";https://spb.rt.ru/support/phone/payment/payment-received-but-no-service
from_arab;Я перевел еще 600 рублей, и телефон выключился. Нет гудка.;Домашний телефон;"I transferred another 600 rubles, and the phone was turned off. There is no dial tone.
";https://spb.rt.ru/support/phone/payment/payment-received-but-no-service
original;Здравствуйте, почему вы мне все ещё не отключили домашний телефон?;Домашний телефон;"Hello, why haven't you turned off my home phone yet?
";None
from_ang;Здравствуйте, а почему вы еще не выключили мой домашний телефон?;Домашний телефон;"Hello, why haven't you turned off my home phone yet?
";None
from_arab;Эй, а почему ты еще не выключил мой домашний телефон?;Домашний телефон;"Hello, why haven't you turned off my home phone yet?
";None
original;При поднятии трубки гудков нет!;Домашний телефон;"There are no beeps when picking up the handset!
";None
from_ang;При поднятии трубки гудков нет!;Домашний телефон;"There are no beeps when picking up the handset!
";None
from_arab;Никаких гудков при поднятии трубки!;Домашний телефон;"There are no beeps when picking up the handset!
";None
original;Не работает домашний телефон на исходящие звонки;Домашний телефон;"Home phone does not work for outgoing calls
";None
from_ang;Домашний телефон не работает для исходящих звонков;Домашний телефон;"Home phone does not work for outgoing calls
";None
from_arab;Домашний телефон не работает для исходящих звонков;Домашний телефон;"Home phone does not work for outgoing calls
";None
original;Здравствуйте,где найти свой домашний телефон?;Домашний телефон;"Hello, where can I find my home phone?
";None
from_ang;Здравствуйте, а где мне найти домашний телефон?;Домашний телефон;"Hello, where can I find my home phone?
";None
from_arab;Эй, а где мне найти домашний телефон?;Домашний телефон;"Hello, where can I find my home phone?
";None
original;хочу узнать почему не работает телефон говорят отсутствует регистрация;Домашний телефон;"I want to know why the phone is not working they say there is no registration
";None
from_ang;Хочу узнать почему не работает телефон мол нет регистрации;Домашний телефон;"I want to know why the phone is not working they say there is no registration
";None
from_arab;Хочу узнать почему не работает телефон мол нет регистрации;Домашний телефон;"I want to know why the phone is not working they say there is no registration
";None
original;Здравствуйте, а сколько стоит подключение домашнего телефона?;Домашний телефон;"Hello, how much does it cost to connect a home phone?
";https://spb.rt.ru/support/phone/connect/find-current-tariff-plan-under-contract
from_ang;Здравствуйте, сколько стоит подключить домашний телефон?;Домашний телефон;"Hello, how much does it cost to connect a home phone?
";https://spb.rt.ru/support/phone/connect/find-current-tariff-plan-under-contract
from_arab;Эй, а сколько стоит доставка домашнего телефона?;Домашний телефон;"Hello, how much does it cost to connect a home phone?
";https://spb.rt.ru/support/phone/connect/find-current-tariff-plan-under-contract
original;Здравствуйте, хочу отключить на домашнем телефоне 8ку что бы на мобильные не набрать было.;Домашний телефон;"Hello, I want to turn off 8k on my home phone so that it is not possible to dial on mobile phones.
";None
from_ang;Здравствуйте, хочу на домашнем телефоне выключить 8к, чтобы на мобильных нельзя было дозвониться.;Домашний телефон;"Hello, I want to turn off 8k on my home phone so that it is not possible to dial on mobile phones.
";None
from_arab;Эй, я хочу выключить 8k на домашнем телефоне, чтобы нельзя было звонить на сотовые телефоны.;Домашний телефон;"Hello, I want to turn off 8k on my home phone so that it is not possible to dial on mobile phones.
";None
original;Здравствуйте! Сколько стоит минута телефонной связи (домашний телефон) с Украиной.;Домашний телефон;"Hello! How much does a minute of telephone communication (home phone) cost with Ukraine.
";https://spb.rt.ru/support/phone/control/domestic-abroad-calls
from_ang;Здравствуйте! Сколько стоит минута телефонного разговора (домашний телефон) с Украиной.;Домашний телефон;"Hello! How much does a minute of telephone communication (home phone) cost with Ukraine.
";https://spb.rt.ru/support/phone/control/domestic-abroad-calls
from_arab;Здравствуйте! Сколько стоит минута звонка (домашний телефон) с Украиной.;Домашний телефон;"Hello! How much does a minute of telephone communication (home phone) cost with Ukraine.
";https://spb.rt.ru/support/phone/control/domestic-abroad-calls
original;добрый день!!! Как мне решить проблему, ранее у меня стоял проводной телефон и при поступающем звонке определялись номера. Провели другую линию и установили другой номер тел, но определяться номера не стали.;Домашний телефон;"good afternoon!!! How can I solve the problem, earlier I had a wired phone and when a call came in, the numbers were determined. They drew another line and set a different number of bodies, but they did not determine the numbers.
";None
from_ang;Добрый день!!! Как решить проблему, раньше у меня был проводной телефон и при звонке номера определялись. Они нарисовали другую линию и установили другое количество тел, но не определили числа.;Домашний телефон;"good afternoon!!! How can I solve the problem, earlier I had a wired phone and when a call came in, the numbers were determined. They drew another line and set a different number of bodies, but they did not determine the numbers.
";None
from_arab;Добрый вечер!!! Как исправить проблему, раньше у меня был проводной телефон и при входящем звонке номера опознавались. Они нарисовали другую линию и поместили другое количество тел, но не указали числа.;Домашний телефон;"good afternoon!!! How can I solve the problem, earlier I had a wired phone and when a call came in, the numbers were determined. They drew another line and set a different number of bodies, but they did not determine the numbers.
";None
original;Здравствуйте, если мы отключим домашний телефон будет ли продолжать работать интернет?;Домашний телефон;"Hello, if we turn off the home phone, will the Internet continue to work?
";None
from_ang;Здравствуйте, если выключить домашний телефон, продолжит ли работать интернет?;Домашний телефон;"Hello, if we turn off the home phone, will the Internet continue to work?
";None
from_arab;Эй, а если выключить домашний телефон, будет ли интернет работать?;Домашний телефон;"Hello, if we turn off the home phone, will the Internet continue to work?
";None
original;Здравствуйте, проблема с домашним телефоном , связь есть звонки на сотовый но слышинности нет не какой;Домашний телефон;"Hello, there is a problem with the home phone, there are calls to the cell phone, but there is no audibility
";None
from_ang;Здравствуйте, есть проблема с домашним телефоном, на сотовый телефон есть звонки, но нет слышимости;Домашний телефон;"Hello, there is a problem with the home phone, there are calls to the cell phone, but there is no audibility
";None
from_arab;Привет, проблема с домашним телефоном, по мобильному телефону идут звонки, но нет слуха;Домашний телефон;"Hello, there is a problem with the home phone, there are calls to the cell phone, but there is no audibility
";None
